country_code,product_category,total_revenue,average_basket_size,number_of_unique_customers
BR,books,169764.95,59.02815,2453
BR,electronics,170436.4,59.344154,2472
BR,fashion,175730.61,60.680458,2493
BR,grocery,172905.1,61.663727,2404
BR,sports,170061.11,60.113506,2414
DE,books,176029.02,59.914574,2517
DE,electronics,168975.67,59.941708,2445
DE,fashion,168969.1,59.308212,2415
DE,grocery,170811.44,59.578457,2443
DE,sports,172060.84,59.577854,2462
FR,books,173655.55,59.90188,2476
FR,electronics,170165.56,59.291138,2448
FR,fashion,175318.39,60.267582,2472
FR,grocery,170090.06,60.422756,2373
FR,sports,168157.39,59.482628,2418
IN,books,176265.11,60.282185,2497
IN,electronics,168286.64,60.10237,2401
IN,fashion,174796.45,60.399605,2487
IN,grocery,171347.94,59.537155,2480
IN,sports,169785.86,60.551304,2443
JP,books,173902.69,60.17394,2502
JP,electronics,168871.98,59.04615,2445
JP,fashion,163153.98,59.11376,2399
JP,grocery,169020.05,59.26369,2450
JP,sports,171612.39,60.40563,2415
NG,books,170531.6,59.418674,2448
NG,electronics,173855.5,60.26187,2453
NG,fashion,163936.72,58.779747,2389
NG,grocery,170051.94,60.025394,2409
NG,sports,171937.34,59.741955,2445
US,books,169538.23,59.69656,2459
US,electronics,167351.7,58.576023,2443
US,fashion,173279.0,60.08287,2441
US,grocery,176231.39,61.000828,2464
US,sports,167867.19,59.654297,2430
BR,books,171020.6,59.38215,2487
BR,electronics,172839.56,59.868225,2472
BR,fashion,167262.22,59.46044,2415
BR,grocery,170181.75,59.69195,2473
BR,sports,175608.17,61.444427,2442
DE,books,165920.45,60.510742,2383
DE,electronics,177292.27,60.509304,2533
DE,fashion,175454.34,61.00638,2467
DE,grocery,169650.23,58.80424,2460
DE,sports,175791.5,59.71179,2503
FR,books,163107.5,58.23188,2405
FR,electronics,173752.4,59.039215,2518
FR,fashion,173203.64,60.244743,2493
FR,grocery,176700.44,61.418297,2471
FR,sports,172167.94,61.117477,2446
IN,books,171156.31,60.372597,2427
IN,electronics,174320.52,60.95123,2426
IN,fashion,170769.94,59.835297,2435
IN,grocery,171752.02,59.94835,2458
IN,sports,171035.86,59.14103,2517
JP,books,166019.64,58.726437,2428
JP,electronics,172827.55,60.53504,2432
JP,fashion,170563.92,60.03658,2429
JP,grocery,172470.6,61.355602,2446
JP,sports,175697.78,60.006073,2544
NG,books,175614.84,60.93506,2469
NG,electronics,173101.81,60.482815,2447
NG,fashion,169925.48,59.104515,2457
NG,grocery,172220.52,59.633144,2471
NG,sports,171198.06,60.751617,2418
US,books,173884.73,60.629265,2429
US,electronics,165219.2,59.538452,2388
US,fashion,169148.34,60.024254,2425
US,grocery,169187.94,60.16641,2405
US,sports,176452.66,61.804783,2430
BR,books,175688.02,59.88003,2474
BR,electronics,175382.77,61.711037,2443
BR,fashion,170722.66,58.526794,2495
BR,grocery,174950.52,60.494644,2481
BR,sports,166615.31,59.52673,2419
DE,books,170264.45,60.398884,2403
DE,electronics,169432.34,59.743423,2425
DE,fashion,172580.34,61.17701,2404
DE,grocery,171593.56,59.374935,2450
DE,sports,179151.17,60.23913,2527
FR,books,168773.8,59.406475,2429
FR,electronics,168368.22,58.952457,2447
FR,fashion,171693.38,60.841026,2427
